Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,1 1,1,2006,1,1,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,2,1985,2,1,29.08,3.58,6.81,0.77,40.24
3,Mario Kart 1,1,2008,Racing,1,15.85,12.88,3.79,3.31,35.82
4,1 1 Resort,1,2009,1,1,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,3,1996,4,1,11.27,8.89,10.22,1,31.37
6,Tetris,3,1989,3,1,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,2,1,11.38,9.23,6.5,2.9,30.01
8,1 Play,1,2006,Misc,1,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. 1,1,2009,2,1,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,2,1984,11,1,26.93,0.63,0.28,0.47,28.31
11,1gs,DS,2005,Simulation,1,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,DS,2005,Racing,1,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,3,1999,4,1,9,6.18,7.2,0.71,23.1
14,1 Fit,1,2007,1,1,8.94,8.03,3.6,2.15,22.72
15,1 Fit Plus,1,2009,1,1,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,8,2010,Misc,28,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,6,2013,5,26,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,4,2004,5,26,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,7,1990,2,1,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,1,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,2006,4,1,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,3,1989,2,1,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,2,1988,2,1,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,8,2013,5,26,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,4,2002,5,26,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,9,2002,4,1,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,DS,2010,4,1,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,DS,2005,3,1,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,4,2001,Racing,20,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,8,2011,11,18,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,3,1998,4,1,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,8,2010,11,18,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,5,2013,4,1,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,10,2015,11,18,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,6,2012,11,18,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,8,2012,11,18,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,8,2009,11,18,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,6,2011,11,18,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,4,2001,5,26,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,1,2008,Fighting,1,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,6,2010,11,18,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,DS,2005,Simulation,1,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,5,2011,Racing,1,4.74,3.91,2.67,0.89,12.21
44,Halo 3,8,2007,11,28,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,10,2014,5,26,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,5,1,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,N64,1996,2,1,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,4,2004,Racing,20,3.01,0.01,1.1,7.53,11.66
